major_abbr,pathway,College,iqr_min,q1,median,q3,iqr_max
TESC  ,0,Interdisciplinary Arts and Sciences,1.5,2.51,3.1,3.45,4.0
ECFS O,0,College of Education,2.125,2.85,3.105,3.525,3.957142
OCEAN ,0,College of the Environment,2.225,2.925,3.2,3.5,4.0
TPSYCH,0,Interdisciplinary Arts and Sciences,1.875,2.866666,3.2277775,3.566666,4.0
SOC WF,0,School of Social Work,2.4,2.98421,3.2375,3.4875,3.9125
TSOCWF,0,Social Work,2.32,3.033333,3.383333,3.666666,4.0
SOCS E,0,College of Arts and Sciences,1.7,2.533333,2.870833,3.35,4.0
MUSAP ,60,College of Arts and Sciences,3.1,3.35,3.4609085000000004,3.7,3.761111
CSSE  ,0,Science Technology Engineering and Mathematics,2.46,3.16,3.4366665000000003,3.642857,4.0
MUSIC ,40,College of Arts and Sciences,3.468965,3.468965,3.6344825,3.8,3.8
MUSAP ,30,College of Arts and Sciences,2.9375,3.0,3.6638235,4.0,4.0
B BUSX,0,Business,2.166666,2.753333,3.01,3.28,3.9
BIS   ,0,Interdisciplinary Arts and Sciences,2.733333,2.733333,2.95,3.0,3.0
T FIN ,0,Milgard School of Business,2.166666,2.866666,3.1722215,3.42,4.0
EELLC ,0,College of Arts and Sciences,3.6,3.6,3.666666,3.777777,4.0
ART H ,0,College of Arts and Sciences,2.434782,3.026315,3.3875,3.661538,4.0
POL S ,70,College of Arts and Sciences,2.438461,2.945833,3.1406825,3.322222,3.786363
B A   ,0,Foster Business School,2.7,3.3,3.55,3.7,4.0
B SEB ,0,Interdisciplinary Arts and Sciences,2.0,2.92,3.233333,3.553333,4.0
T HIST,40,Interdisciplinary Arts and Sciences,3.588888,3.588888,3.588888,3.588888,3.588888
COM   ,30,College of Arts and Sciences,2.675,3.2,3.4450000000000003,3.647058,4.0
INFO  ,0,The Information School,2.78421,3.252941,3.421052,3.566666,3.877777
NEAR E,30,College of Arts and Sciences,2.436363,2.577777,3.090909,3.291304,3.64
ANTH  ,10,College of Arts and Sciences,2.2,2.87037,3.13,3.422222,4.0
SOC   ,10,College of Arts and Sciences,2.230555,2.62,2.8840000000000003,3.171428,3.171428
BIOCHM,0,College of Arts and Sciences,2.257142,3.061111,3.36,3.6,4.0
ESRM  ,0,College of the Environment,2.011111,2.729629,3.081818,3.5,3.966666
EURO  ,0,College of Arts and Sciences,1.7,2.75,3.057142,3.466666,4.0
